xgaus,ygaus
-20.0,2.9673590509634815e-12
-19.95,3.4136514158623782e-12
-19.9,3.9256117572541224e-12
-19.849999999999998,4.512680878379892e-12
-19.799999999999997,5.185623745584642e-12
-19.749999999999996,5.956710375578853e-12
-19.699999999999996,6.839920740877511e-12
-19.649999999999995,7.851176785907708e-12
-19.599999999999994,9.008605031285813e-12
-19.549999999999994,1.0332833674961127e-11
-19.499999999999993,1.1847328581619492e-11
-19.449999999999992,1.3578773091831935e-11
-19.39999999999999,1.5557497186469143e-11
-19.34999999999999,1.7817962217127294e-11
-19.29999999999999,2.0399308167761214e-11
-19.24999999999999,2.3345971255302675e-11
-19.19999999999999,2.670838061759041e-11
-19.149999999999988,3.0543743886360204e-11
-19.099999999999987,3.4916932613381314e-11
-19.049999999999986,3.990147982238354e-11
-18.999999999999986,4.558070341291126e-11
-18.949999999999985,5.2048970760876823e-11
-18.899999999999984,5.941312166229085e-11
-18.849999999999984,6.779406877113193e-11
-18.799999999999983,7.732859691137019e-11
-18.749999999999982,8.817138512070219e-11
-18.69999999999998,1.0049727803599855e-10
-18.64999999999998,1.1450383628679021e-10
-18.59999999999998,1.3041419895526666e-10
-18.54999999999998,1.4848029492426395e-10
-18.49999999999998,1.6898644410711453e-10
-18.449999999999978,1.9225339417724776e-10
-18.399999999999977,2.1864284353752148e-10
-18.349999999999977,2.4856250694018843e-10
-18.299999999999976,2.824717864439465e-10
-18.249999999999975,3.208881173356674e-10
-18.199999999999974,3.64394066317998e-10
-18.149999999999974,4.136452677430526e-10
-18.099999999999973,4.693792930368291e-10
-18.049999999999972,5.324255587960577e-10
-17.99999999999997,6.037163904440557e-10
-17.94999999999997,6.842993709092401e-10
-17.89999999999997,7.753511176519853e-10
-17.84999999999997,8.781926466369497e-10
-17.79999999999997,9.943064986627736e-10
-17.749999999999968,1.1253558219662484e-09
-17.699999999999967,1.2732056253730264e-09
-17.649999999999967,1.4399464386450408e-09
-17.599999999999966,1.6279206412645305e-09
-17.549999999999965,1.8397517479007506e-09
-17.499999999999964,2.078376968449689e-09
-17.449999999999964,2.3470833930607996e-09
-17.399999999999963,2.649548188228467e-09
-17.349999999999962,2.98988322911286e-09
-17.29999999999996,3.3726846360701236e-09
-17.24999999999996,3.803087730248248e-09
-17.19999999999996,4.286827974397536e-09
-17.14999999999996,4.830308521143131e-09
-17.09999999999996,5.4406750522863615e-09
-17.049999999999958,6.125898659692097e-09
-16.999999999999957,6.894867591467971e-09
-16.949999999999957,7.757488766968665e-09
-16.899999999999956,8.724800051228036e-09
-16.849999999999955,9.809094374339548e-09
-16.799999999999955,1.1024056884720996e-08
-16.749999999999954,1.238491643781177e-08
-16.699999999999953,1.390861284431238e-08
-16.649999999999952,1.5613981435385057e-08
-16.59999999999995,1.7521956647163366e-08
-16.54999999999995,1.965579648438016e-08
-16.49999999999995,2.204132989391348e-08
-16.44999999999995,2.4707229264623185e-08
-16.39999999999995,2.7685310471131874e-08
-16.349999999999948,3.101086309740822e-08
-16.299999999999947,3.472301371240765e-08
-16.249999999999947,3.8865125326007226e-08
-16.199999999999946,4.348523643047058e-08
-16.149999999999945,4.8636543332273155e-08
-16.099999999999945,5.4377929802941355e-08
-16.049999999999944,6.077454842736846e-08
-15.999999999999943,6.789845840572547e-08
-15.949999999999942,7.582932497256578e-08
-15.899999999999942,8.465518603609636e-08
-15.849999999999941,9.44732921140964e-08
-15.79999999999994,1.0539102615290288e-07
-15.74999999999994,1.1752691036477039e-07
-15.699999999999939,1.310117078092888e-07
-15.649999999999938,1.459896270792198e-07
-15.599999999999937,1.6261963913292096e-07
-15.549999999999937,1.8107691604753034e-07
-15.499999999999936,2.0155440225248616e-07
-15.449999999999935,2.2426452964506754e-07
-15.399999999999935,2.4944108889200237e-07
-15.349999999999934,2.773412701874766e-07
-15.299999999999933,3.0824788777187416e-07
-15.249999999999932,3.424718036213878e-07
-15.199999999999932,3.803545669003603e-07
-15.149999999999931,4.222712870302214e-07
-15.09999999999993,4.6863375957572937e-07
-15.04999999999993,5.198938655855937e-07
-14.999999999999929,5.765472665552831e-07
-14.949999999999928,6.391374188099921e-07
-14.899999999999928,7.082599328405566e-07
-14.849999999999927,7.845673049699233e-07
-14.799999999999926,8.68774050688147e-07
-14.749999999999925,9.61662271075391e-07
-14.699999999999925,1.0640876859411578e-06
-14.649999999999924,1.1769861696494433e-06
-14.599999999999923,1.301380828080317e-06
-14.549999999999923,1.4383896578043928e-06
-14.499999999999922,1.5892338313241603e-06
-14.449999999999921,1.7552466551717352e-06
-14.39999999999992,1.937883250752287e-06
-14.34999999999992,2.1387310110933027e-06
-14.299999999999919,2.3595208901076013e-06
-14.249999999999918,2.602139584610033e-06
-14.199999999999918,2.868642673149618e-06
-14.149999999999917,3.161268779737649e-06
-14.099999999999916,3.482454834773505e-06
-14.049999999999915,3.834852509900505e-06
-13.999999999999915,4.221345908169269e-06
-13.949999999999914,4.645070595751929e-06
-13.899999999999913,5.109434066542285e-06
-13.849999999999913,5.618137736300069e-06
-13.799999999999912,6.175200568556133e-06
-13.749999999999911,6.78498444029413e-06
-13.69999999999991,7.452221361467043e-06
-13.64999999999991,8.182042668696375e-06
-13.599999999999909,8.98001032004154e-06
-13.549999999999908,9.852150424517142e-06
-13.499999999999908,1.0804989147079225e-05
-13.449999999999907,1.1845591137098035e-05
-13.399999999999906,1.2981600635880989e-05
-13.349999999999905,1.422128542660905e-05
-13.299999999999905,1.5573583798092847e-05
-13.249999999999904,1.704815470204307e-05
-13.199999999999903,1.8655431292073897e-05
-13.149999999999903,2.0406678041412578e-05
